problem_name,method,seed,iteration,acq_type,acq_value,acq_label,candidate_x,new_y_model_space,new_y_minimization,posterior_mean,posterior_std,train_size,parego_weights,parego_probe_max,evaluations,hypervolume,ideal_hypervolume,normalized_hypervolume,gd,igd,spacing,coverage,pareto_size,best_f1,best_f2,elapsed_sec,device,difficulty,family,description,n_var,n_obj
zdt1,ParEGO,0,40,ParEGO,-9.680316294040825,qLogNEI,"[0.026331574426511344, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.026331574426511344, -0.8377299336707126]","[0.026331574426511344, 0.8377299336707126]","[-0.02588171991922411, -0.8323239679717495]","[0.001282662397521803, 0.006390650821472461]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-37.81785263405544],60,0.7397073623968424,0.8683145333564439,0.8518887269311567,0.002656487292964485,0.04350472532687078,0.04428655138954661,1.0,28,0.0,0.0,243.81676929999998,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
zdt1,ParEGO,1,40,ParEGO,-9.9064343316169,qLogNEI,"[0.02822782560666376, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.02822782560666376, -0.8319886146516738]","[0.02822782560666376, 0.8319886146516738]","[-0.027861649679114475, -0.8279432990799991]","[0.0013810770232417617, 0.007166726056270592]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-37.715861793388605],60,0.7328924984738844,0.8683145333564439,0.8440403451971606,0.0025808288145115553,0.04436016502097217,0.04619711650392184,1.0,25,0.0,0.0,236.8089091,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
zdt1,ParEGO,2,40,ParEGO,-9.428979709953266,qLogNEI,"[0.028388749468143216, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.028388749468143216, -0.8315103876550747]","[0.028388749468143216, 0.8315103876550747]","[-0.02796170620272742, -0.8261244924519896]","[0.001107132395445593, 0.00626598027592091]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-38.1404325556585],60,0.730392960172569,0.8683145333564439,0.8411617358853327,0.0031009381787832735,0.044645176715344126,0.047735431578539406,1.0,29,0.0,0.0,290.31262080000005,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
zdt1,ParEGO,3,40,ParEGO,-10.080259970604136,qLogNEI,"[0.025588172861615403, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.025588172861615403, -0.8400369640772738]","[0.025588172861615403, 0.8400369640772738]","[-0.025148240704130465, -0.834793865604557]","[0.0011269984246938577, 0.006750451107331243]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-38.21902510903619],60,0.7272327934011904,0.8683145333564439,0.837522309559986,0.002499428791936534,0.04438596205966253,0.05821184308722692,1.0,27,0.0,0.0,297.51827260000005,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
zdt1,ParEGO,4,40,ParEGO,-9.470284334279764,qLogNEI,"[0.03064545014828304, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.03064545014828304, -0.8249415807557858]","[0.03064545014828304, 0.8249415807557858]","[-0.030287469446959647, -0.8173453287660382]","[0.001222421636969523, 0.005808053632334855]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-38.30014035740823],60,0.7338434642968179,0.8683145333564439,0.8451355310847647,0.002358518825916336,0.04657679727713677,0.04162702792525965,1.0,29,0.0,0.0,262.0729827,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
zdt1,qEHVI,0,40,qEHVI,0.006298843790095399,qEHVI,"[0.0, 0.0, 0.6777882623572314, 1.0, 0.0, 0.0]","[-0.0, -4.020018872243017]","[0.0, 4.020018872243017]","[-0.0059588222650613365, -3.8075620073185985]","[0.012523696210085656, 0.16879131433422348]",60,,,60,0.5583397459122809,0.8683145333564439,0.6430155484718598,0.0010611651205051245,0.07365757776206495,0.07951015039627264,1.0,6,0.0,0.0,373.79084809999995,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
zdt1,qEHVI,1,40,qEHVI,0.005683158734712302,qEHVI,"[0.0, 0.6414806412702857, 0.18351305018792088, 0.0, 0.0, 0.0]","[-0.0, -2.4849886446247718]","[0.0, 2.4849886446247718]","[0.0008722873148809263, -2.508555619427684]","[0.003247484585191092, 0.050980972434669765]",60,,,60,0.6779127255064421,0.8683145333564439,0.7807225371271752,0.0014091878070882724,0.04775120148352055,0.04920360544472981,1.0,9,0.0,0.0,415.4410489999998,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
zdt1,qEHVI,2,40,qEHVI,0.005188417082917097,qEHVI,"[0.0, 0.2528870909377656, 0.0, 0.0, 0.0, 0.6167238946932316]","[-0.0, -2.565299774135795]","[0.0, 2.565299774135795]","[0.0005667080852934936, -2.5786636429965513]","[0.0034538718928915336, 0.057920899492625216]",60,,,60,0.6218729638020377,0.8683145333564439,0.7161839862315863,0.0011138423888990136,0.0564950992599362,0.10186787859164789,1.0,8,0.0,0.0,410.11782730000004,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
zdt1,qEHVI,3,40,qEHVI,0.0070076618438237,qEHVI,"[0.0, 0.31164931309130517, 0.3388569057579745, 0.8695236516562066, 0.0, 0.0]","[-0.0, -3.7360537669098752]","[0.0, 3.7360537669098752]","[0.0005505551581476975, -3.764076939790713]","[0.005725783341481506, 0.1120765399088974]",60,,,60,0.5619418918892162,0.8683145333564439,0.6471639829832705,0.003634152793491553,0.07560661019766904,0.07822467285570685,1.0,6,0.0,0.0,387.2522346999999,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
zdt1,qEHVI,4,40,qEHVI,0.004501792098781409,qEHVI,"[0.0, 0.0, 0.5096593555657779, 0.44370869098121535, 0.0, 0.0]","[-0.0, -2.716062483784588]","[0.0, 2.716062483784588]","[0.0005611189258753202, -2.7510898925861262]","[0.0037254112669437623, 0.057845365547169264]",60,,,60,0.6055954829971658,0.8683145333564439,0.6974379210909376,0.0014323895419183182,0.05945452506293256,0.1156696118617119,1.0,8,0.0,0.0,420.76013349999994,cpu,easy,ZDT,Гладкий выпуклый фронт Парето. Базовая легкая задача для проверки сходимости и равномерности покрытия.,6,2
